batch_name,Name,SampleIndex,SampleNumber,vial_capped,gc_well_number,hydrogen_evolution,oxygen_evolution,hydrogen_evolution_micromol,oxygen_evolution_micromol,sonication_time_min,illumination_time_min,gc_method,purge_time,cap_vials,P10-HS_to_dispense,CaCO3_to_dispense,P10_to_dispense,g-C3N4_to_dispense,FS-COF_to_dispense,domen_xb_1_to_dispense,pt/gcn_to_dispense,water_to_dispense,Water8_to_dispense,AscorbicAcid0-1M_to_dispense,TEOA-0-1VV_to_dispense,MethyleneBlue0-25g-L_to_dispense,AcidRed871-0g-L_to_dispense,RhodamineB_to_dispense,RoseBengal1-0g-L_to_dispense,AscorbicAcid1-0M_to_dispense,P10-HS_dispensed,CaCO3_dispensed,P10_dispensed,g-C3N4_dispensed,FS-COF_dispensed,domen_xb_1_dispensed,pt/gcn_dispensed,water_dispensed,Water8_dispensed,AscorbicAcid0-1M_dispensed,TEOA-0-1VV_dispensed,MethyleneBlue0-25g-L_dispensed,AcidRed871-0g-L_dispensed,RhodamineB_dispensed,RoseBengal1-0g-L_dispensed,AscorbicAcid1-0M_dispensed,submit_start,submit_finish,run_start,run_finish,PickUp_start,PickUp_finish,load_quantos_start,load_quantos_finish,unload_quantos_start,unload_quantos_finish,dispense_liquid_start,dispense_liquid_finish,load_sonicator_start,load_sonicator_finish,sonication_start,sonication_finish,unload_sonicator_start,unload_sonicator_finish,load_photocat_start,load_photocat_finish,photolysis_start,photolysis_finish,unload_photocat_start,unload_photocat_finish,load_gc_start,load_gc_finish,gc_analysis_start,gc_analysis_finish,unload_gc_start,unload_gc_finish,move_to_storage_start,move_to_storage_finish
exploratory-run-1,exploratory-dye_1,0,1,1,1,0,0,0.0,0.0,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9900002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_2,1,2,1,2,33,428182,0.0,1.50698046474,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_3,2,3,1,3,33,425271,0.0,1.49037009497,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099993,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_4,3,4,1,4,17,429061,0.0,1.51199610027,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_5,4,5,1,5,69,461601,0.0,1.69767161807,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_6,5,6,1,6,11,472640,0.0,1.7606609248,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.97000027,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_7,6,7,1,13,27,305266,0.0,0.80561316462,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.9899998,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_8,7,8,1,14,17,328700,0.0,0.939329209,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.9800005,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_9,8,9,1,17,45,465696,0.0,1.72103797472,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.97000027,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_10,9,10,1,18,47,473690,0.0,1.7666522983000001,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.9800005,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_11,10,11,1,25,76,471049,0.0,1.75158256743,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5000005,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_12,11,12,1,26,836,423579,0.0,1.4807154245299998,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999995,0.0,0.0,2.4700003,0.0,0.0,0.0,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_13,12,13,1,27,8185,86021,0.17381018456375127,0.0,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4900002,0.0,0.0,2.48,0.0,0.0,0.0,0.97999954,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_14,13,14,1,28,7560,86986,0.17159428721672002,0.0,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,2.49,0.0,0.0,0.0,0.9899998,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_15,14,15,1,29,98,372104,0.0,1.1869954712800002,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5100002,0.0,0.0,2.4799998,0.0,0.0,1.0100002,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-1,exploratory-dye_16,15,16,1,30,57,371770,0.0,1.1850896438999998,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.4899998,0.0,0.0,0.97000027,0.0,0.0,,,28-03-2019 12:10:08,,28-03-2019 12:10:09,28-03-2019 12:10:45,,,,,28-03-2019 12:10:48,28-03-2019 13:07:30,28-03-2019 13:07:34,28-03-2019 13:16:46,28-03-2019 13:16:46,28-03-2019 13:45:37,28-03-2019 13:29:15,28-03-2019 13:45:41,28-03-2019 13:45:46,28-03-2019 13:56:01,28-03-2019 13:56:01,28-03-2019 14:56:02,28-03-2019 15:13:44,28-03-2019 15:21:45,28-03-2019 15:21:48,28-03-2019 15:25:02,28-03-2019 15:25:02,,28-03-2019 22:05:19,28-03-2019 22:08:01,28-03-2019 22:10:08,28-03-2019 22:13:22
exploratory-run-10,exploratory-run-10_1,0,1,1,1,64600,138520,0.403322768482,0.0,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,1.49,0.0,2.5,0.0,0.0,0.0,0.0,1.0299997,0.0,,,29-03-2019 10:39:43,,29-03-2019 10:48:14,29-03-2019 10:50:36,29-03-2019 10:51:17,29-03-2019 10:55:28,29-03-2019 11:09:04,29-03-2019 11:13:18,29-03-2019 11:18:28,29-03-2019 11:50:19,29-03-2019 11:50:23,29-03-2019 11:56:05,29-03-2019 11:56:05,29-03-2019 12:15:17,29-03-2019 12:06:06,29-03-2019 12:15:20,29-03-2019 12:15:24,29-03-2019 12:20:57,29-03-2019 12:20:58,29-03-2019 13:20:59,29-03-2019 15:12:37,29-03-2019 15:17:22,29-03-2019 18:14:31,29-03-2019 18:15:22,29-03-2019 18:15:22,29-03-2019 22:43:19,,,30-03-2019 13:06:37,30-03-2019 13:09:06
exploratory-run-10,exploratory-run-10_2,1,2,1,2,65850,159152,0.409068860235125,0.0,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,1.5199997,0.0,2.5,0.0,0.0,0.0,0.0,0.9999995,0.0,,,29-03-2019 10:39:43,,29-03-2019 10:48:14,29-03-2019 10:50:36,29-03-2019 10:51:17,29-03-2019 10:55:28,29-03-2019 11:09:04,29-03-2019 11:13:18,29-03-2019 11:18:28,29-03-2019 11:50:19,29-03-2019 11:50:23,29-03-2019 11:56:05,29-03-2019 11:56:05,29-03-2019 12:15:17,29-03-2019 12:06:06,29-03-2019 12:15:20,29-03-2019 12:15:24,29-03-2019 12:20:57,29-03-2019 12:20:58,29-03-2019 13:20:59,29-03-2019 15:12:37,29-03-2019 15:17:22,29-03-2019 18:14:31,29-03-2019 18:15:22,29-03-2019 18:15:22,29-03-2019 22:43:19,,,30-03-2019 13:06:37,30-03-2019 13:09:06
exploratory-run-10,exploratory-run-10_3,2,3,1,3,11949,290470,0.18730663629713645,0.7211861529000001,10,60,constant-HS rc,60,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.49,0.0,2.46,0.0,0.0,0.0,0.9699998,0.0,0.0,,,29-03-2019 10:39:43,,29-03-2019 10:48:14,29-03-2019 10:50:36,29-03-2019 10:51:17,29-03-2019 10:55:28,29-03-2019 11:09:04,29-03-2019 11:13:18,29-03-2019 11:18:28,29-03-2019 11:50:19,29-03-2019 11:50:23,29-03-2019 11:56:05,29-03-2019 11:56:05,29-03-2019 12:15:17,29-03-2019 12:06:06,29-03-2019 12:15:20,29-03-2019 12:15:24,29-03-2019 12:20:57,29-03-2019 12:20:58,29-03-2019 13:20:59,29-03-2019 15:12:37,29-03-2019 15:17:22,29-03-2019 18:14:31,29-03-2019 18:15:22,29-03-2019 18:15:22,29-03-2019 22:43:19,,,30-03-2019 13:06:37,30-03-2019 13:09:06
